Title,Title_Transliterated,Author,Subject,Date,PDF_URL
الأعشاب,al- Aʻshāb,"['Abū al-Wafā, Maḥmūd., author.']","[['Provider:'], ['American University of Beirut']]",1934,http://mc.dlib.nyu.edu/files/books/aub_aco004721/aub_aco004721_lo.pdf
أناشيد دينية مع ألحانها الموسيقية,Anāshīd dīnīyah maʻ alḥānihā al-mūsīqīyah,"['Abū al-Wafā, Maḥmūd., author.']","[['الشعر الاسلامي العربي'], ['Islamic poetry, Arabic']]",1954,http://mc.dlib.nyu.edu/files/books/aub_aco004720/aub_aco004720_lo.pdf
أنفاس محترقة,Anfās muḥtariqah,"['Abū al-Wafāʼ, Maḥmūd., author.']","[['Provider:'], ['American University of Beirut']]",1933,http://mc.dlib.nyu.edu/files/books/aub_aco004719/aub_aco004719_lo.pdf
قصائد دافئة,Qaṣāʼid dāfiʼah,"['Abū Saʻd, Aḥmad., author.']","[['Provider:'], ['American University of Beirut']]",1953,http://mc.dlib.nyu.edu/files/books/aub_aco004718/aub_aco004718_lo.pdf
رياحين :,Rayāḥīn,"['Abū-Ṭaʻʻān, Jūzif, author.']","[['Provider:'], ['American University of Beirut']]",1955,http://mc.dlib.nyu.edu/files/books/aub_aco004717/aub_aco004717_lo.pdf
ذوو الفكاهة في التأريخ,Dhawū al-fukāhah fī al-tārīkh,"['Malāʼikah, Ṣādiq, author.']","[['Arabic wit and humor', 'History and criticism'], ['Arabic literature', 'History and criticism']]",1948,http://mc.dlib.nyu.edu/files/books/aub_aco004716/aub_aco004716_lo.pdf
كتاب القضيتين :,Kitāb al-qaḍīyatayn,"['Walīd, Abī al-Faḍl, 1889-1941, author.']","[['Nationalism', 'Arab countries'], ['Arabism'], ['World politics'], ['Colonization'], ['Arab nationalism'], ['Arab countries', 'Politics and government'], ['Arab countries', 'Foreign relations']]",1934,http://mc.dlib.nyu.edu/files/books/aub_aco004715/aub_aco004715_lo.pdf
خمسة شعراء جاهليين :,Khamsat shuʻarā' jāhilīyīn,"['Farrūkh, ʻUmar, 1906-1987, author.', 'Abū Shaqrā, ʻĀrif., author.']","[['Imruʼ al-Qays', '497-545'], ['Ṭarafah ibn al-ʻAbd'], ['Nābighah al-Dhubyānī', 'active 6th century'], ['Zuhayr ibn Abī Sulmá', 'Muʻallaqah'], ['ʻAntarah ibn Shaddād', 'active 6th century'], ['Arabic poetry', 'History and criticism'], ['Poets, Arab', 'To 622', 'Biography']]",1944,http://mc.dlib.nyu.edu/files/books/aub_aco004714/aub_aco004714_lo.pdf
المحرر,al-Muḥarrir,['n.a.'],"[['Arabic essays'], ['Journalists', 'Lebanon']]",1946,http://mc.dlib.nyu.edu/files/books/aub_aco004713/aub_aco004713_lo.pdf
حرب الشعوب,Ḥarb al-shuʻūb,"['Qalʻajī, Qadrī., author.']","[['Provider:'], ['American University of Beirut']]",1945,http://mc.dlib.nyu.edu/files/books/aub_aco004712/aub_aco004712_lo.pdf
قبض الريح,Qabḍ al-rīḥ,"['Māzinī, Ibrāhīm ʻAbd al-Qādir, 1889-1949, author.']","[['Provider:'], ['American University of Beirut']]",1948,http://mc.dlib.nyu.edu/files/books/aub_aco004711/aub_aco004711_lo.pdf
ملاعق من فضة,Malāʻiq min fiḍḍah,"['Mashnūq, ʻAbd Allāh., author.']","[['Provider:'], ['American University of Beirut']]",1948,http://mc.dlib.nyu.edu/files/books/aub_aco004710/aub_aco004710_lo.pdf
شروق من الغرب,Shurūq min al-Gharb,"['Maḥmūd, Zakī Najīb, 1905-, author.']","[['Provider:'], ['American University of Beirut']]",1952,http://mc.dlib.nyu.edu/files/books/aub_aco004709/aub_aco004709_lo.pdf
"جنة العبيط، أو، ""أدب المقالة""","Jannat al-ʻabīṭ, aw, ""adab al-maqālah""","['Maḥmūd, Zakī Najīb, 1905-, author.']","[['Provider:'], ['American University of Beirut']]",1947,http://mc.dlib.nyu.edu/files/books/aub_aco004708/aub_aco004708_lo.pdf
أقوالنا وأفعالنا,Aqwālunā wa-afʻālunā,"['Kurd ʻAlī, Muḥammad, 1876-1953, author.']","[['Provider:'], ['American University of Beirut']]",1946,http://mc.dlib.nyu.edu/files/books/aub_aco004707/aub_aco004707_lo.pdf
متنوعات,Mutanawwiʻāt,"['Ḥusayn, Muḥammad Kāmil, 1901-1977, author.']","[['Provider:'], ['American University of Beirut']]",1951,http://mc.dlib.nyu.edu/files/books/aub_aco004706/aub_aco004706_lo.pdf
ساعات الصمت,Sāʻāt al-ṣamt,"['Ḥassūnah, Muḥammad Amīn., author.']","[['Provider:'], ['American University of Beirut']]",1945,http://mc.dlib.nyu.edu/files/books/aub_aco004705/aub_aco004705_lo.pdf
طريق المجد,Ṭarīq al-majd,"['Ḥattūnī, Mishāl, author.']","[['Arabic literature'], ['Arabic essays']]",1947,http://mc.dlib.nyu.edu/files/books/aub_aco004704/aub_aco004704_lo.pdf
لا هوادة,Lā hawādah,"['Fākhūrī, ʻUmar, 1896-1946, author.']","[['Provider:'], ['American University of Beirut']]",1942,http://mc.dlib.nyu.edu/files/books/aub_aco004703/aub_aco004703_lo.pdf
خطرات نفس,Khaṭarāt nafs,"['Fahmy, Mansour., author.']","[['Egypt', 'Intellectual life', '20th century']]",1930,http://mc.dlib.nyu.edu/files/books/aub_aco004702/aub_aco004702_lo.pdf
قطوف v.1-2,Quṭūf v.1-2,"['Bishrī, ʻAbd al-ʻAzīz ibn Sālim, 1886-1943, author.', 'Ḥusayn, Ṭāhā, 1889-1973, author.']","[['Provider:'], ['American University of Beirut']]",1947,http://mc.dlib.nyu.edu/files/books/aub_aco004701/aub_aco004701_lo.pdf
الربيعيات,al- Rabīʻīyāt,"['Buṭṭī, Rafāʼīl, 1901-1956, author.']","[['Provider:'], ['American University of Beirut']]",1925,http://mc.dlib.nyu.edu/files/books/aub_aco004700/aub_aco004700_lo.pdf
إقرأ وفكر,Iqraʼ wa-fakkir,"['Bashīr, Anṭūniyūs., author.']","[['Provider:'], ['American University of Beirut']]",1929,http://mc.dlib.nyu.edu/files/books/aub_aco004699/aub_aco004699_lo.pdf
تأملات في الأدب والحياة :,Taʼammulāt fī al-adab wa-al-ḥayāt,"['ʻAwwād, Muḥammad Ḥasan, -1980, author.']","[['Literature'], ['Essays']]",1950,http://mc.dlib.nyu.edu/files/books/aub_aco004697/aub_aco004697_lo.pdf
خواطر مصرحة : v.1,Khawāṭir muṣarraḥah v.1,"['ʻAwwād, Muḥammad Ḥasan, -1980, author.']","[['Arabic literature', 'History and criticism'], ['Arabic language'], ['Essays']]",1926,http://mc.dlib.nyu.edu/files/books/aub_aco004696/aub_aco004696_lo.pdf
من صميم لبنان,Min ṣamīm Lubnān,"['Ashqar, Asad., author.']","[['لبنان', 'متفرقات'], ['Lebanon', 'Miscellanea']]",1940,http://mc.dlib.nyu.edu/files/books/aub_aco004695/aub_aco004695_lo.pdf
مختارات من الأمير شكيب إرسلان.,Mukhtārāt min al-Amīr Shakīb Arslān,"['Arslān, ShakībAmīr, 1869-1946, author.']","[['Provider:'], ['American University of Beirut']]",1950,http://mc.dlib.nyu.edu/files/books/aub_aco004694/aub_aco004694_lo.pdf
فيض الخاطر : v.10,Fayḍ al-khāṭir v.10,"['Amīn, Aḥmad, 1886-1954, author.']","[['Provider:'], ['American University of Beirut']]",1945,http://mc.dlib.nyu.edu/files/books/aub_aco004693/aub_aco004693_lo.pdf
فيض الخاطر : v.9,Fayḍ al-khāṭir v.9,"['Amīn, Aḥmad, 1886-1954, author.']","[['Provider:'], ['American University of Beirut']]",1945,http://mc.dlib.nyu.edu/files/books/aub_aco004692/aub_aco004692_lo.pdf
فيض الخاطر : v.8,Fayḍ al-khāṭir v.8,"['Amīn, Aḥmad, 1886-1954, author.']","[['Provider:'], ['American University of Beirut']]",1945,http://mc.dlib.nyu.edu/files/books/aub_aco004691/aub_aco004691_lo.pdf
فيض الخاطر : v.7,Fayḍ al-khāṭir v.7,"['Amīn, Aḥmad, 1886-1954, author.']","[['Provider:'], ['American University of Beirut']]",1945,http://mc.dlib.nyu.edu/files/books/aub_aco004690/aub_aco004690_lo.pdf
فيض الخاطر : v.6,Fayḍ al-khāṭir v.6,"['Amīn, Aḥmad, 1886-1954, author.']","[['Provider:'], ['American University of Beirut']]",1945,http://mc.dlib.nyu.edu/files/books/aub_aco004689/aub_aco004689_lo.pdf
فيض الخاطر : v.5,Fayḍ al-khāṭir v.5,"['Amīn, Aḥmad, 1886-1954, author.']","[['Provider:'], ['American University of Beirut']]",1930,http://mc.dlib.nyu.edu/files/books/aub_aco004688/aub_aco004688_lo.pdf
فيض الخاطر : v.3,Fayḍ al-khāṭir v.3,"['Amīn, Aḥmad, 1886-1954, author.']","[['Provider:'], ['American University of Beirut']]",1938,http://mc.dlib.nyu.edu/files/books/aub_aco004687/aub_aco004687_lo.pdf
فيض الخاطر : v.2,Fayḍ al-khāṭir v.2,"['Amīn, Aḥmad, 1886-1954, author.']","[['Provider:'], ['American University of Beirut']]",1938,http://mc.dlib.nyu.edu/files/books/aub_aco004686/aub_aco004686_lo.pdf
فيض الخاطر : v.1,Fayḍ al-khāṭir v.1,"['Amīn, Aḥmad, 1886-1954, author.']","[['Provider:'], ['American University of Beirut']]",1938,http://mc.dlib.nyu.edu/files/books/aub_aco004685/aub_aco004685_lo.pdf
نظرات في الحياة والمجتمع,Naẓarāt fī al-ḥayāt wa-al-mujtamaʻ,"['Adʹham, ʻAlī., 1897-1981, author.']",[['Life']],1945,http://mc.dlib.nyu.edu/files/books/aub_aco004684/aub_aco004684_lo.pdf
الأدب القصصي عند العرب,al- Adab al-qaṣaṣī ʻinda al-ʻArab,"['Sulaymān, Mūsá., author.']","[['Folk literature, Arabic', 'History and criticism'], ['Arabic fiction', 'History and criticism']]",1950,http://mc.dlib.nyu.edu/files/books/aub_aco004683/aub_aco004683_lo.pdf
يحكى عن العرب,Yuḥká ʻan al-ʻArab,"['Sulaymān, Mūsá., author.']","[['الحكايات', 'البلدان العربية'], ['Tales', 'Arab countries']]",1948,http://mc.dlib.nyu.edu/files/books/aub_aco004682/aub_aco004682_lo.pdf
أبو خليل في باريس ؛,Abū Khalīl fi Bārīs,"['Kaḥḥālah, Ghafrīl, author.', 'Kaḥḥālah, Ghafrīl.', 'Kaḥḥālah, Ghafrīl.']","[['Provider:'], ['American University of Beirut']]",1948,http://mc.dlib.nyu.edu/files/books/aub_aco004681/aub_aco004681_lo.pdf
